"filename", "language", "HTML", "PHP", "CSS", "JavaScript", "XML", "SCSS", "Less", "JSON", "Python", "pip requirements", "comment", "blank", "total"
"e:\Mis doumentos\Desktop\Universidad\Tesis\static\blog\assets\js\main.js", "JavaScript", 0, 0, 0, 211, 0, 0, 0, 0, 0, 0, 60, 26, 297
"e:\Mis doumentos\Desktop\Universidad\Tesis\static\blog\assets\vendor\aos\aos.css", "CSS", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"e:\Mis doumentos\Desktop\Universidad\Tesis\static\blog\assets\vendor\aos\aos.js", "JavaScript", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"e:\Mis doumentos\Desktop\Universidad\Tesis\static\blog\assets\vendor\bootstrap-icons\bootstrap-icons.css", "CSS", 0, 0, 1874, 0, 0, 0, 0, 0, 0, 0, 0, 3, 1877
"e:\Mis doumentos\Desktop\Universidad\Tesis\static\blog\assets\vendor\bootstrap-icons\bootstrap-icons.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 1856, 0, 0, 0, 0, 1856
"e:\Mis doumentos\Desktop\Universidad\Tesis\static\blog\assets\vendor\bootstrap-icons\index.html", "HTML", 7286, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 7292
"e:\Mis doumentos\Desktop\Universidad\Tesis\static\blog\assets\vendor\bootstrap\css\bootstrap-grid.css", "CSS", 0, 0, 3925, 0, 0, 0, 0, 0, 0, 0, 7, 192, 4124
"e:\Mis doumentos\Desktop\Universidad\Tesis\static\blog\assets\vendor\bootstrap\css\bootstrap-grid.min.css", "CSS", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 6, 0, 7
"e:\Mis doumentos\Desktop\Universidad\Tesis\static\blog\assets\vendor\bootstrap\css\bootstrap-grid.rtl.css", "CSS", 0, 0, 3925, 0, 0, 0, 0, 0, 0, 0, 7, 191, 4123
"e:\Mis doumentos\Desktop\Universidad\Tesis\static\blog\assets\vendor\bootstrap\css\bootstrap-grid.rtl.min.css", "CSS", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 6, 0, 7
"e:\Mis doumentos\Desktop\Universidad\Tesis\static\blog\assets\vendor\bootstrap\css\bootstrap-reboot.css", "CSS", 0, 0, 409, 0, 0, 0, 0, 0, 0, 0, 15, 64, 488
"e:\Mis doumentos\Desktop\Universidad\Tesis\static\blog\assets\vendor\bootstrap\css\bootstrap-reboot.min.css", "CSS", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 6, 0, 7
"e:\Mis doumentos\Desktop\Universidad\Tesis\static\blog\assets\vendor\bootstrap\css\bootstrap-reboot.rtl.css", "CSS", 0, 0, 415, 0, 0, 0, 0, 0, 0, 0, 7, 63, 485
"e:\Mis doumentos\Desktop\Universidad\Tesis\static\blog\assets\vendor\bootstrap\css\bootstrap-reboot.rtl.min.css", "CSS", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 6, 0, 7
"e:\Mis doumentos\Desktop\Universidad\Tesis\static\blog\assets\vendor\bootstrap\css\bootstrap-utilities.css", "CSS", 0, 0, 3830, 0, 0, 0, 0, 0, 0, 0, 9, 358, 4197
"e:\Mis doumentos\Desktop\Universidad\Tesis\static\blog\assets\vendor\bootstrap\css\bootstrap-utilities.min.css", "CSS", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 6, 0, 7
"e:\Mis doumentos\Desktop\Universidad\Tesis\static\blog\assets\vendor\bootstrap\css\bootstrap-utilities.rtl.css", "CSS", 0, 0, 3826, 0, 0, 0, 0, 0, 0, 0, 7, 355, 4188
"e:\Mis doumentos\Desktop\Universidad\Tesis\static\blog\assets\vendor\bootstrap\css\bootstrap-utilities.rtl.min.css", "CSS", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 6, 0, 7
"e:\Mis doumentos\Desktop\Universidad\Tesis\static\blog\assets\vendor\bootstrap\css\bootstrap.css", "CSS", 0, 0, 10131, 0, 0, 0, 0, 0, 0, 0, 35, 748, 10914
"e:\Mis doumentos\Desktop\Universidad\Tesis\static\blog\assets\vendor\bootstrap\css\bootstrap.min.css", "CSS", 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 5, 0, 7
"e:\Mis doumentos\Desktop\Universidad\Tesis\static\blog\assets\vendor\bootstrap\css\bootstrap.rtl.css", "CSS", 0, 0, 10133, 0, 0, 0, 0, 0, 0, 0, 7, 734, 10874
"e:\Mis doumentos\Desktop\Universidad\Tesis\static\blog\assets\vendor\bootstrap\css\bootstrap.rtl.min.css", "CSS", 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 5, 0, 7
"e:\Mis doumentos\Desktop\Universidad\Tesis\static\blog\assets\vendor\bootstrap\js\bootstrap.bundle.js", "JavaScript", 0, 0, 0, 5059, 0, 0, 0, 0, 0, 0, 535, 1497, 7091
"e:\Mis doumentos\Desktop\Universidad\Tesis\static\blog\assets\vendor\bootstrap\js\bootstrap.bundle.min.js", "JavaScript", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 6, 0, 7
"e:\Mis doumentos\Desktop\Universidad\Tesis\static\blog\assets\vendor\bootstrap\js\bootstrap.esm.js", "JavaScript", 0, 0, 0, 3562, 0, 0, 0, 0, 0, 0, 458, 1198, 5218
"e:\Mis doumentos\Desktop\Universidad\Tesis\static\blog\assets\vendor\bootstrap\js\bootstrap.esm.min.js", "JavaScript", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 6, 0, 7
"e:\Mis doumentos\Desktop\Universidad\Tesis\static\blog\assets\vendor\bootstrap\js\bootstrap.js", "JavaScript", 0, 0, 0, 3599, 0, 0, 0, 0, 0, 0, 464, 1202, 5265
"e:\Mis doumentos\Desktop\Universidad\Tesis\static\blog\assets\vendor\bootstrap\js\bootstrap.min.js", "JavaScript", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 6, 0, 7
"e:\Mis doumentos\Desktop\Universidad\Tesis\static\blog\assets\vendor\boxicons\css\animations.css", "CSS", 0, 0, 354, 0, 0, 0, 0, 0, 0, 0, 0, 32, 386
"e:\Mis doumentos\Desktop\Universidad\Tesis\static\blog\assets\vendor\boxicons\css\boxicons.css", "CSS", 0, 0, 5271, 0, 0, 0, 0, 0, 0, 0, 0, 53, 5324
"e:\Mis doumentos\Desktop\Universidad\Tesis\static\blog\assets\vendor\boxicons\css\boxicons.min.css", "CSS", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"e:\Mis doumentos\Desktop\Universidad\Tesis\static\blog\assets\vendor\boxicons\css\transformations.css", "CSS", 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 6, 31
"e:\Mis doumentos\Desktop\Universidad\Tesis\static\blog\assets\vendor\boxicons\fonts\boxicons.svg", "XML", 0, 0, 0, 0, 1626, 0, 0, 0, 0, 0, 0, 0, 1626
"e:\Mis doumentos\Desktop\Universidad\Tesis\static\blog\assets\vendor\glightbox\css\glightbox.css", "CSS", 0, 0, 819, 0, 0, 0, 0, 0, 0, 0, 8, 113, 940
"e:\Mis doumentos\Desktop\Universidad\Tesis\static\blog\assets\vendor\glightbox\css\glightbox.min.css", "CSS", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"e:\Mis doumentos\Desktop\Universidad\Tesis\static\blog\assets\vendor\glightbox\css\plyr.css", "CSS", 0, 0, 1615, 0, 0, 0, 0, 0, 0, 0, 0, 185, 1800
